"","stop","Type"
"720",1,"Permanent"
"721",1,"Permanent"
"722",2,"Permanent"
"723",1,"Permanent"
"724",1,"Permanent"
"725",3,"Permanent"
"726",3,"Permanent"
"727",2,"Permanent"
"728",3,"Permanent"
"729",2,"Permanent"
"730",2,"Permanent"
"731",2,"Permanent"
"732",2,"Permanent"
"733",3,"Permanent"
"734",2,"Permanent"
"735",2,"Permanent"
"736",2,"Permanent"
"737",2,"Permanent"
"738",2,"Permanent"
"739",2,"Permanent"
"740",3,"Permanent"
"741",2,"Permanent"
"742",2,"Permanent"
"743",3,"Permanent"
"744",3,"Permanent"
"745",3,"Permanent"
"746",4,"Permanent"
"747",2,"Permanent"
"748",3,"Permanent"
"749",1,"Permanent"
"750",1,"Permanent"
"751",1,"Permanent"
"752",1,"Permanent"
"753",1,"Permanent"
"754",1,"Permanent"
"755",1,"Permanent"
"756",1,"Permanent"
"757",1,"Permanent"
"758",1,"Permanent"
"759",2,"Permanent"
"760",1,"Permanent"
"761",1,"Permanent"
"762",2,"Permanent"
"763",1,"Permanent"
"764",1,"Permanent"
"765",1,"Permanent"
"766",1,"Permanent"
"767",1,"Permanent"
"768",2,"Permanent"
"769",2,"Permanent"
"770",2,"Permanent"
"771",2,"Permanent"
"772",2,"Permanent"
"773",2,"Permanent"
"774",2,"Permanent"
"775",2,"Permanent"
"776",2,"Permanent"
"777",2,"Permanent"
"778",2,"Permanent"
"779",2,"Permanent"
"780",2,"Permanent"
"781",3,"Permanent"
"782",2,"Permanent"
"783",2,"Permanent"
"784",1,"Street"
"785",1,"Street"
"786",1,"Street"
"787",1,"Street"
"788",1,"Street"
"789",1,"Street"
"790",1,"Street"
"791",1,"Street"
"792",1,"Street"
"793",1,"Street"
"794",1,"Street"
"795",2,"Street"
"796",1,"Street"
"797",1,"Street"
"798",2,"Street"
"799",2,"Street"
"800",1,"Street"
"801",1,"Street"
"802",1,"Street"
"803",1,"Street"
"804",3,"Street"
"805",1,"Street"
"806",1,"Street"
"807",1,"Street"
"808",2,"Street"
"809",1,"Street"
"810",1,"Street"
"811",1,"Street"
"812",2,"Street"
"813",2,"Street"
"814",2,"Street"
"815",3,"Street"
"816",2,"Street"
"817",2,"Street"
"818",2,"Street"
"819",2,"Street"
"820",2,"Street"
"821",2,"Street"
"822",2,"Street"
"823",2,"Street"
"824",2,"Street"
"825",3,"Street"
"826",2,"Street"
"827",3,"Street"
"828",3,"Street"
"829",4,"Street"
"830",2,"Street"
"831",2,"Street"
"832",2,"Street"
"833",2,"Street"
"834",2,"Street"
"835",2,"Street"
"836",3,"Street"
"837",3,"Street"
"838",4,"Street"
"839",3,"Street"
"840",3,"Street"
"841",3,"Street"
"842",3,"Street"
"843",3,"Street"
"844",5,"Street"
"845",3,"Street"
"846",3,"Street"
"847",3,"Street"
"848",3,"Street"
"849",3,"Street"
"850",4,"Street"
"851",4,"Street"
"852",4,"Street"
"853",1,"Permanent"
"854",1,"Permanent"
"855",1,"Permanent"
"856",1,"Permanent"
"857",1,"Permanent"
"858",1,"Permanent"
"859",1,"Permanent"
"860",1,"Permanent"
"861",1,"Permanent"
"862",1,"Permanent"
"863",1,"Permanent"
"864",1,"Permanent"
"865",1,"Permanent"
"866",1,"Permanent"
"867",1,"Permanent"
"868",1,"Permanent"
"869",1,"Permanent"
"870",1,"Permanent"
"871",1,"Permanent"
"872",1,"Permanent"
"873",1,"Permanent"
"874",1,"Permanent"
"875",1,"Permanent"
"876",2,"Permanent"
"877",2,"Permanent"
"878",2,"Permanent"
"879",2,"Permanent"
"880",1,"Permanent"
"881",2,"Permanent"
"882",2,"Permanent"
"883",2,"Permanent"
"884",2,"Permanent"
"885",2,"Permanent"
"886",2,"Permanent"
"887",2,"Permanent"
"888",2,"Permanent"
"889",2,"Permanent"
"890",2,"Permanent"
"891",2,"Permanent"
"892",2,"Permanent"
"893",2,"Permanent"
"894",2,"Permanent"
"895",2,"Permanent"
"896",3,"Permanent"
"897",3,"Permanent"
"898",3,"Permanent"
"899",3,"Permanent"
"900",2,"Permanent"
"901",3,"Permanent"
"902",3,"Permanent"
"903",2,"Permanent"
"904",3,"Permanent"
"905",3,"Permanent"
"906",2,"Permanent"
"907",3,"Permanent"
"908",3,"Permanent"
"909",3,"Permanent"
"910",3,"Permanent"
"911",3,"Permanent"
"912",3,"Permanent"
"913",2,"Permanent"
"914",3,"Permanent"
"915",3,"Permanent"
"916",3,"Permanent"
"917",3,"Permanent"
"918",1,"Permanent"
"919",1,"Permanent"
"920",1,"Permanent"
"921",1,"Permanent"
"922",1,"Permanent"
"923",1,"Permanent"
"924",1,"Permanent"
"925",1,"Permanent"
"926",1,"Permanent"
"927",1,"Permanent"
"928",1,"Permanent"
"929",1,"Permanent"
"930",1,"Permanent"
"931",1,"Permanent"
"932",1,"Permanent"
"933",1,"Permanent"
"934",1,"Permanent"
"935",1,"Permanent"
"936",1,"Permanent"
"937",1,"Permanent"
"938",1,"Permanent"
"939",1,"Permanent"
"940",1,"Permanent"
"941",1,"Permanent"
"942",2,"Permanent"
"943",2,"Permanent"
"944",2,"Permanent"
"945",2,"Permanent"
"946",3,"Permanent"
"947",2,"Permanent"
"948",2,"Permanent"
"949",2,"Permanent"
"950",2,"Permanent"
"951",2,"Permanent"
"952",2,"Permanent"
"953",2,"Permanent"
"954",2,"Permanent"
"955",2,"Permanent"
"956",2,"Permanent"
"957",2,"Permanent"
"958",2,"Permanent"
"959",2,"Permanent"
"960",2,"Permanent"
"961",2,"Permanent"
"962",2,"Permanent"
"963",3,"Permanent"
"964",2,"Permanent"
"965",2,"Permanent"
"966",3,"Permanent"
"967",3,"Permanent"
"968",1,"Permanent"
"969",1,"Permanent"
"970",1,"Permanent"
"971",1,"Permanent"
"972",1,"Permanent"
"973",1,"Permanent"
"974",1,"Permanent"
"975",1,"Permanent"
"976",1,"Permanent"
"977",1,"Permanent"
"978",1,"Permanent"
"979",1,"Permanent"
"980",1,"Permanent"
"981",1,"Permanent"
"982",1,"Permanent"
